datetime,count
2011-01-20 00:00:00,12.23
2011-01-20 01:00:00,4.88
2011-01-20 02:00:00,4.05
2011-01-20 03:00:00,3.47
2011-01-20 04:00:00,3.14
2011-01-20 05:00:00,6.07
2011-01-20 06:00:00,37.68
2011-01-20 07:00:00,105.59
2011-01-20 08:00:00,235.88
2011-01-20 09:00:00,135.74
2011-01-20 10:00:00,63.19
2011-01-20 11:00:00,62.85
2011-01-20 12:00:00,83.94
2011-01-20 13:00:00,73.0
2011-01-20 14:00:00,81.02
2011-01-20 15:00:00,87.52
2011-01-20 16:00:00,94.19
2011-01-20 17:00:00,208.43
2011-01-20 18:00:00,180.41
2011-01-20 19:00:00,98.75
2011-01-20 20:00:00,69.65
2011-01-20 21:00:00,50.78
2011-01-20 22:00:00,45.47
2011-01-20 23:00:00,27.33
2011-01-21 00:00:00,15.07
2011-01-21 01:00:00,6.88
2011-01-21 02:00:00,4.583333333333333
2011-01-21 03:00:00,2.34
2011-01-21 04:00:00,2.116
2011-01-21 05:00:00,3.61
2011-01-21 06:00:00,35.09
2011-01-21 07:00:00,99.88
2011-01-21 08:00:00,206.1
2011-01-21 09:00:00,130.71
2011-01-21 10:00:00,51.15
2011-01-21 11:00:00,65.62
2011-01-21 12:00:00,72.12
2011-01-21 13:00:00,67.62
2011-01-21 14:00:00,64.09
2011-01-21 15:00:00,62.92
2011-01-21 16:00:00,80.92
2011-01-21 17:00:00,151.71
2011-01-21 18:00:00,154.07
2011-01-21 19:00:00,105.32
2011-01-21 20:00:00,69.74
2011-01-21 21:00:00,42.58
2011-01-21 22:00:00,33.05
2011-01-21 23:00:00,21.93
2011-01-22 00:00:00,25.52
2011-01-22 01:00:00,18.61
2011-01-22 02:00:00,13.87
2011-01-22 03:00:00,7.56
2011-01-22 04:00:00,2.39
2011-01-22 06:00:00,4.23
2011-01-22 07:00:00,16.66
2011-01-22 08:00:00,24.87
2011-01-22 09:00:00,34.696666666666665
2011-01-22 10:00:00,55.75
2011-01-22 11:00:00,59.43
2011-01-22 12:00:00,68.49
2011-01-22 13:00:00,75.86
2011-01-22 14:00:00,71.58
2011-01-22 15:00:00,70.63
2011-01-22 16:00:00,71.77
2011-01-22 17:00:00,84.92
2011-01-22 18:00:00,61.84
2011-01-22 19:00:00,39.95
2011-01-22 20:00:00,43.6
2011-01-22 21:00:00,40.59
2011-01-22 22:00:00,27.6
2011-01-22 23:00:00,19.69
2011-01-23 00:00:00,28.93
2011-01-23 01:00:00,21.6
2011-01-23 02:00:00,15.66
2011-01-23 03:00:00,13.603333333333335
2011-01-23 05:00:00,3.05
2011-01-23 06:00:00,3.28
2011-01-23 07:00:00,7.53
2011-01-23 08:00:00,17.44
2011-01-23 09:00:00,26.893333333333334
2011-01-23 10:00:00,53.73
2011-01-23 11:00:00,61.54
2011-01-23 12:00:00,68.82
2011-01-23 13:00:00,66.97
2011-01-23 14:00:00,70.53
2011-01-23 15:00:00,69.84
2011-01-23 16:00:00,73.07
2011-01-23 17:00:00,73.07
2011-01-23 18:00:00,69.47
2011-01-23 19:00:00,47.39
2011-01-23 20:00:00,33.53
2011-01-23 21:00:00,30.81
2011-01-23 22:00:00,19.49
2011-01-23 23:00:00,13.65
2011-01-24 00:00:00,11.1
2011-01-24 01:00:00,4.8
2011-01-24 03:00:00,1.73
2011-01-24 04:00:00,2.44
2011-01-24 05:00:00,6.26
2011-01-24 06:00:00,31.91
2011-01-24 07:00:00,83.0
2011-01-24 08:00:00,176.42
2011-01-24 09:00:00,107.65
2011-01-24 10:00:00,43.71
2011-01-24 11:00:00,38.58
2011-01-24 12:00:00,50.8
2011-01-24 13:00:00,47.41
2011-01-24 14:00:00,42.26
2011-01-24 15:00:00,55.26
2011-01-24 16:00:00,70.4
2011-01-24 17:00:00,159.36
2011-01-24 18:00:00,157.35
2011-01-24 19:00:00,96.46
2011-01-24 20:00:00,64.35
2011-01-24 21:00:00,47.74
2011-01-24 22:00:00,24.72
2011-01-24 23:00:00,19.94
2011-01-25 00:00:00,8.53
2011-01-25 01:00:00,3.29
2011-01-25 02:00:00,2.08
2011-01-25 04:00:00,1.75
2011-01-25 05:00:00,4.86
2011-01-25 06:00:00,34.34
2011-01-25 07:00:00,84.3
2011-01-25 08:00:00,201.92
2011-01-25 09:00:00,122.0
2011-01-25 10:00:00,56.2
2011-01-25 11:00:00,57.7
2011-01-25 12:00:00,69.09
2011-01-25 13:00:00,70.65
2011-01-25 14:00:00,68.43
2011-01-25 15:00:00,70.57
2011-01-25 16:00:00,99.48
2011-01-25 17:00:00,217.9
2011-01-25 18:00:00,204.69
2011-01-25 19:00:00,111.32
2011-01-25 20:00:00,70.07
2011-01-25 21:00:00,54.74
2011-01-25 22:00:00,36.91
2011-01-25 23:00:00,21.0
2011-01-26 00:00:00,7.76
2011-01-26 01:00:00,5.09
2011-01-26 02:00:00,3.059166666666667
2011-01-26 05:00:00,3.01
2011-01-26 06:00:00,25.45
2011-01-26 07:00:00,68.5
2011-01-26 08:00:00,148.18
2011-01-26 09:00:00,92.3
2011-01-26 10:00:00,56.85
2011-01-26 11:00:00,49.8
2011-01-26 12:00:00,45.97
2011-01-26 13:00:00,46.26
2011-01-26 14:00:00,44.07
2011-01-26 15:00:00,42.55
2011-01-26 16:00:00,64.86
2011-01-26 17:00:00,115.48
2011-01-27 16:00:00,76.25
2011-01-27 17:00:00,168.04
2011-01-27 18:00:00,138.81
2011-01-27 19:00:00,99.65
2011-01-27 20:00:00,83.42
2011-01-27 21:00:00,50.67
2011-01-27 22:00:00,40.84
2011-01-27 23:00:00,27.25
2011-01-28 00:00:00,12.71
2011-01-28 01:00:00,6.88
2011-01-28 02:00:00,2.6758333333333337
2011-01-28 03:00:00,1.86
2011-01-28 05:00:00,6.42
2011-01-28 06:00:00,30.05
2011-01-28 07:00:00,90.13
2011-01-28 08:00:00,204.26
2011-01-28 09:00:00,79.15
2011-01-28 10:00:00,39.46
2011-01-28 11:00:00,41.45
2011-01-28 12:00:00,44.24
2011-01-28 13:00:00,45.98
2011-01-28 14:00:00,51.01
2011-01-28 15:00:00,57.99
2011-01-28 16:00:00,72.09
2011-01-28 17:00:00,163.43
